rf_0,rf_1,gb_0,gb_1,nb_0,nb_1,nn_0,nn_1,lstm_0,lstm_1,gnn_0,gnn_1,true_label,ensemble_pred
0.7,0.3,0.5041843231394871,0.4958156768605129,0.3511747101257414,0.6488252898742587,0.5305399894714355,0.4694599211215973,0.006924038752913475,0.993075966835022,0.5953060984611511,0.4046938717365265,1,1
0.6,0.4,0.5056689271276789,0.4943310728723212,0.732627931216982,0.2673720687830185,0.5944660902023315,0.40553390979766846,0.5901806950569153,0.4098193347454071,0.5356548428535461,0.46434512734413147,0,0
0.0,1.0,0.49020646715435234,0.5097935328456477,0.5384817227892994,0.46151827721070043,0.3921913802623749,0.6078085899353027,0.0023872386664152145,0.997612714767456,0.32440540194511414,0.6755945682525635,1,1
0.9,0.1,0.5087242331881366,0.49127576681186336,0.279269400920899,0.7207305990791026,0.5147427916526794,0.48525717854499817,0.8020442128181458,0.19795572757720947,0.43571051955223083,0.5642895102500916,0,0
0.7,0.3,0.5056689271276789,0.4943310728723212,0.5374834308202006,0.46251656917980116,0.4383293688297272,0.5616706013679504,0.012968115508556366,0.987031877040863,0.5026107430458069,0.4973892867565155,1,1
0.3,0.7,0.49449890640290417,0.5055010935970958,0.3872738460555955,0.6127261539444051,0.40984606742858887,0.5901538729667664,0.012425663881003857,0.9875742793083191,0.45377281308174133,0.5462271571159363,1,1
0.6,0.4,0.517175803381519,0.4828241966184809,0.3550059559631931,0.6449940440368064,0.5139413475990295,0.48605862259864807,0.9995601773262024,0.0004398425226099789,0.6721011996269226,0.3278988301753998,0,0
0.4,0.6,0.5011981462776735,0.49880185372232655,0.2262089995651808,0.7737910004348203,0.4727901220321655,0.5272098779678345,0.7905920147895813,0.20940802991390228,0.537449836730957,0.46255016326904297,0,0
0.6,0.4,0.5056689271276789,0.4943310728723212,0.479769836181137,0.5202301638188622,0.48691418766975403,0.5130858421325684,0.002518185880035162,0.9974818825721741,0.6252846717834473,0.3747153580188751,1,1
0.7,0.3,0.5011981462776735,0.49880185372232655,0.23030215886058503,0.7696978411394144,0.4196636378765106,0.5803363919258118,0.9994412064552307,0.0005587914492934942,0.44249969720840454,0.5575003027915955,0,0
