rf_0,rf_1,gb_0,gb_1,nb_0,nb_1,nn_0,nn_1,lstm_0,lstm_1,gnn_0,gnn_1,true_label,ensemble_pred
0.0,1.0,0.4513775155759878,0.5486224844240122,0.0,1.0,0.0016189581947401166,0.9983810186386108,0.0001578863593749702,0.9998420476913452,0.014896444976329803,0.9851035475730896,1,1
1.0,0.0,0.5465557271721574,0.4534442728278426,1.0,1.3688002496768107e-41,0.9719493389129639,0.028050608932971954,0.9971323013305664,0.002867643954232335,0.943257749080658,0.056742217391729355,0,0
0.9,0.1,0.5364613612233158,0.4635386387766843,1.0,6.0391040644543645e-47,0.9635797142982483,0.036420319229364395,0.00013273072545416653,0.9998672008514404,0.9741807579994202,0.02581927739083767,1,1
0.9,0.1,0.5364613612233158,0.4635386387766843,1.0,1.1490357494374568e-41,0.9729059338569641,0.027094053104519844,0.9972562193870544,0.0027438357938081026,0.9099606871604919,0.09003934264183044,0,0
0.0,1.0,0.4513775155759878,0.5486224844240122,0.0,1.0,0.0017893260810524225,0.9982106685638428,0.00013203064736444503,0.9998679161071777,0.0026088778395205736,0.9973911046981812,1,1
0.0,1.0,0.45168005707388204,0.548319942926118,0.0,1.0,0.0021287198178470135,0.9978712797164917,0.00012778745440300554,0.9998722076416016,0.003979223780333996,0.9960207343101501,1,1
0.0,1.0,0.4513775155759878,0.5486224844240122,0.0,1.0,0.0019213120685890317,0.9980787038803101,0.9971684813499451,0.002831562887877226,0.0026130613405257463,0.9973869919776917,0,0
1.0,0.0,0.5465557271721574,0.4534442728278426,1.0,8.170177830560548e-38,0.9620035886764526,0.03799641504883766,0.9959325194358826,0.004067490808665752,0.7397048473358154,0.26029521226882935,0,0
0.0,1.0,0.4513775155759878,0.5486224844240122,0.0,1.0,0.001652408274821937,0.9983476400375366,0.00013714523811358958,0.999862790107727,0.0419042706489563,0.9580957293510437,1,1
0.8,0.2,0.5364613612233158,0.4635386387766843,1.0,8.622284239198618e-46,0.9806253910064697,0.019374597817659378,0.9959249496459961,0.004075007513165474,0.9706770777702332,0.029322925955057144,0,0
1.0,0.0,0.5465557271721574,0.4534442728278426,1.0,4.661140263102232e-37,0.9681026935577393,0.031897302716970444,0.996978759765625,0.0030212898273020983,0.9845930933952332,0.015406906604766846,0,0
