label,Mean,RMS,Variance,Standard Deviation,Peak-to-Peak,Crest Factor,Skewness,Kurtosis,Energy,Entropy,Max,Min,peak_magnitude,spectral_centroid,spectral_bandwidth,spectral_flatness,spectral_rolloff,spectral_entropy,spectral_contrast
0,49.34933974,50.53527803,118.4569934,10.88379499,72,1.523688065,-0.752731273,3.452084573,6381982,-698640.4899,77,5,123966,-64.99409729,163301.9838,0.282722235,-54000,4.941148856,10.82000523
0,49.58343337,50.76361667,118.4279128,10.88245895,72,1.516834399,-0.773139577,3.492411553,6439785,-702758.5344,77,5,124195,-16.24631844,166265.9976,0.288870071,-54000,4.95794823,11.91936401
0,49.43897559,50.61597367,117.7644833,10.85193454,73,1.521258892,-0.774264819,3.513632602,6402380,-700194.8018,77,4,123893,-51.41206604,166533.6844,0.287597586,-54000,4.95058859,10.78195023
0,49.46218487,50.64415793,118.3229998,10.8776376,72,1.520412287,-0.749886563,3.458155607,6409512,-700612.8153,77,5,123344,-27.47933977,166584.0249,0.287635127,-54000,4.967977177,11.45275553
0,49.46218487,50.64415793,118.3229998,10.8776376,72,1.520412287,-0.749886563,3.458155607,6409512,-700612.8153,77,5,124634,-87.58811461,165397.782,0.279278734,-54000,4.930703396,12.96193335
0,49.43657463,50.61396556,117.7985983,10.85350627,72,1.501561855,-0.759731011,3.468542358,6401872,-700144.8133,76,4,123232,-52.68509728,163412.3981,0.281560325,-54000,4.948465272,12.05312909
0,49.33133253,50.51787428,118.4752528,10.88463379,73,1.524212986,-0.767629216,3.480040712,6377587,-698335.7093,77,4,124530,-17.37744055,163458.6066,0.287543058,-54000,4.959687779,12.32960625
0,49.5270108,50.69935867,117.5001708,10.83974957,73,1.518756884,-0.77129544,3.483677315,6423492,-701721.9259,77,4,124530,-17.37744055,163458.6066,0.287543058,-54000,4.959687779,12.32960625
0,49.80152061,50.97076032,117.8269525,10.85481241,72,1.51067003,-0.766316887,3.481876035,6492448,-706555.1315,77,5,124196,-52.39080818,164638.3137,0.281571339,-54000,4.94649353,11.18314927
0,49.63865546,50.81498662,118.1667491,10.87045303,73,1.534980233,-0.759068554,3.475437456,6452825,-703707.9855,78,5,123744,-93.85832215,163124.6325,0.275417697,-54000,4.902725113,11.8848107
0,49.54341737,50.71902767,117.8695635,10.85677501,71,1.498451439,-0.759594692,3.460690322,6428477,-702021.5848,76,5,124450,-35.0980166,163456.4737,0.284836441,-54000,4.9360678,11.58312143
0,49.77511004,50.95065837,118.4080079,10.88154437,72,1.511266046,-0.758987263,3.443793799,6487328,-706112.7657,77,5,124887,-60.98185955,163321.242,0.281952606,-54000,4.938511076,12.56765927
0,49.76070428,50.9289692,117.6322133,10.84583853,72,1.51190965,-0.753198579,3.463069099,6481806,-705823.0732,77,5,124149,-16.40879911,166202.1798,0.278739206,-54000,4.915659888,11.92452151
0,49.47018808,50.64527201,117.6440692,10.84638508,72,1.520378842,-0.773591322,3.504120414,6409794,-700734.9094,77,5,124018,-2.516058132,165961.1348,0.288053341,-54000,4.935671281,11.2761397
0,49.52180872,50.70019136,118.0998645,10.86737616,71,1.51873194,-0.767451551,3.452084037,6423703,-701653.1817,77,6,123347,-1.26292213,164484.8669,0.282299565,-54000,4.934766811,11.74198997
0,50.22809124,51.38100041,117.1460536,10.82340305,73,1.51807087,-0.772495074,3.487044704,6597378,-714030.2367,78,5,124719,-61.4977556,164575.0947,0.284806042,-55600,4.938516237,14.27077843
0,49.36894758,50.55343569,118.3568749,10.87919459,72,1.523140791,-0.750624912,3.455093319,6386569,-698981.1722,77,5,124418,-94.68772187,164987.9245,0.290582349,-54000,4.958456138,12.06039647
0,49.83113245,50.99979992,117.8378303,10.85531346,71,1.509809845,-0.751762258,3.420350732,6499848,-707064.8525,77,6,123881,-94.52637967,166954.6487,0.285729858,-54000,4.938300998,11.24062306
0,49.8927571,51.06012588,117.8492433,10.85583913,73,1.508026051,-0.757119523,3.444499076,6515234,-708153.513,77,4,123998,-47.57974574,166465.3307,0.289366761,-54000,4.961582394,12.22909027
0,49.78751501,50.95464405,117.5790998,10.84338968,73,1.530773131,-0.756562613,3.462706397,6488343,-706292.2076,78,5,122603,-29.28055839,164963.3137,0.275955026,-54000,4.916109844,11.99235737
0,49.34613846,50.52300297,117.5324491,10.84123836,73,1.52405826,-0.764202874,3.478477174,6378882,-698547.7786,77,4,122987,-8.791139889,167138.1505,0.287587093,-54000,4.95797168,10.70751762
0,49.39055622,50.56757886,117.652988,10.84679621,72,1.522714785,-0.760022116,3.461141701,6390143,-699329.6272,77,5,122883,-59.08944229,165345.4966,0.28666041,-54000,4.956031493,11.81232397
0,49.70148059,50.87260961,117.7852359,10.85289067,73,1.533241573,-0.755633157,3.450663203,6467468,-704789.9634,78,5,123852,-17.51553955,164464.3412,0.284263172,-54000,4.949063914,11.63884472
0,49.3677471,50.54727303,117.8523571,10.85598255,73,1.52332649,-0.751387111,3.461551341,6385012,-698935.707,77,4,125075,-74.24143922,165567.1347,0.282101075,-55200,4.914524913,11.25618531
0,49.25690276,50.4400444,117.9556096,10.86073707,74,1.526564873,-0.774961829,3.529929623,6357951,-697013.617,77,3,123572,-30.09182923,167494.2434,0.284137803,-54000,4.950428377,12.43317201
0,49.70788315,50.88277137,118.182775,10.87119014,74,1.552588388,-0.76204996,3.481229436,6470052,-704925.3871,79,5,124463,-3.76173113,166823.711,0.284605438,-54000,4.937482481,11.82775637
0,49.69427771,50.86198164,117.4199392,10.83604814,71,1.513900904,-0.77019285,3.462175021,6464766,-704651.2103,77,6,124376,-45.23693934,164300.4704,0.278305467,-54000,4.922668998,12.07560524
0,49.6262505,50.79699335,117.5697951,10.84296062,72,1.515837748,-0.787247374,3.517307046,6448256,-703477.3276,77,5,125633,-58.51655289,164318.0576,0.28939302,-54000,4.945841818,11.43538451
0,49.72108844,50.89100075,117.7073224,10.84930055,72,1.532687486,-0.745632721,3.403818007,6472145,-705122.2471,78,6,123398,-12.57183509,166038.278,0.281001684,-54000,4.943598225,11.57801851
0,49.67987195,50.85342101,117.9807513,10.86189446,73,1.514155753,-0.76246956,3.481168293,6462590,-704425.3785,77,4,123930,-29.80555261,165289.8558,0.291923216,-54000,4.978967809,11.21626921
0,49.64945978,50.81853411,117.4545525,10.83764516,72,1.51519522,-0.761451335,3.459302669,6453726,-703864.4035,77,5,124021,-124.0551669,167493.5073,0.281286782,-54000,4.941031384,12.03333099
0,49.67026811,50.8430881,117.884074,10.85744325,73,1.514463477,-0.769539538,3.497235623,6459964,-704257.4906,77,4,123526,-123.8597791,165182.5836,0.276201619,-54000,4.908849643,12.28557745
0,49.46178471,50.64439892,118.386995,10.8805788,74,1.540150573,-0.750674361,3.451664637,6409573,-700609.3,78,4,123527,-63.86282431,166741.6015,0.287800272,-54000,4.964682515,11.94797212
0,49.57302921,50.74976468,118.0533902,10.8652377,71,1.517248414,-0.766644991,3.509400591,6436271,-702556.9431,77,6,124556,-42.77485909,168935.5037,0.282636311,-58000,4.934390604,12.73544148
0,49.60584234,50.78491945,118.3684493,10.87972653,73,1.535889017,-0.750125967,3.427255399,6445191,-703134.0117,78,5,123583,-95.7261926,166015.4802,0.29026698,-54000,4.981622529,10.76882706
0,49.27811124,50.46429488,118.3128102,10.87716922,73,1.525831287,-0.764079916,3.44730189,6364066,-697390.7839,77,4,123430,-114.1996837,165111.4556,0.271875425,-54000,4.904093026,12.68964144
0,49.19407763,50.3685894,116.9375239,10.81376548,71,1.50887688,-0.767096668,3.503711612,6339950,-695857.575,76,5,122879,-13.95012403,165597.5051,0.281405503,-54000,4.927135963,12.89706213
0,49.14645858,50.32964166,117.6984378,10.84889109,73,1.529913535,-0.784186357,3.541040775,6330149,-695070.158,77,4,122879,-13.95012403,165597.5051,0.281405503,-54000,4.927135963,12.89706213
0,49.71228491,50.88750942,118.2273441,10.87323982,72,1.513141454,-0.749396106,3.473148138,6471257,-705000.7316,77,5,124089,-33.7893265,164206.721,0.282203747,-54000,4.95053377,12.43337673
0,49.61944778,50.79517753,118.0604621,10.86556313,73,1.535578844,-0.750275522,3.456982674,6447795,-703360.6436,78,5,123831,-23.74909751,165555.7976,0.282999283,-54000,4.950272619,12.78650024
0,50.20328131,51.3677122,118.2724022,10.87531159,74,1.518463577,-0.759295703,3.48463708,6593966,-713639.6318,78,4,124631,-108.493417,165777.5158,0.28716361,-54000,4.951791909,10.90040217
0,49.56542617,50.74007708,117.8239507,10.85467414,73,1.537246384,-0.759073658,3.473982811,6433814,-702407.5033,78,5,123534,-25.20807391,166756.749,0.276914034,-54000,4.92550865,11.95690054
0,49.66306523,50.83006077,117.2750304,10.82935965,72,1.514851622,-0.76800352,3.491518072,6456654,-704098.9143,77,5,123534,-25.20807391,166756.749,0.276914034,-54000,4.92550865,11.95690054
0,49.8527411,51.01497242,117.2316161,10.82735499,71,1.509360808,-0.745600629,3.398958444,6503716,-707411.8685,77,6,124352,-40.13847334,164913.9549,0.285677374,-54000,4.940733305,11.82718599
0,49.37334934,50.55315468,117.8938236,10.85789222,72,1.523149257,-0.759905501,3.457483463,6386498,-699038.9829,77,5,124352,-40.13847334,164913.9549,0.285677374,-54000,4.940733305,11.82718599
0,49.46218487,50.63772578,117.6715392,10.84765132,74,1.520605415,-0.760207546,3.495175179,6407884,-700591.6032,77,3,123917,-3.759808662,164730.3721,0.281621786,-54000,4.939132335,11.34587432
0,49.56182473,50.74217878,118.3942369,10.88091159,73,1.517475241,-0.772203886,3.458851303,6434347,-702374.1937,77,4,123937,-1.264722619,165426.3512,0.283675501,-54000,4.925562362,11.72752865
0,49.78511405,50.96043943,118.408806,10.88158104,71,1.510975982,-0.755646547,3.436063026,6489819,-706285.1496,77,6,124920,-12.47233121,166531.41,0.288010254,-54000,4.941553317,10.96901005
0,49.78511405,50.96043943,118.408806,10.88158104,71,1.510975982,-0.755646547,3.436063026,6489819,-706285.1496,77,6,123963,-23.69358778,163933.1718,0.28398755,-54000,4.958381788,12.59833907
0,49.49739896,50.67925172,118.3940509,10.88090304,73,1.51935945,-0.76946854,3.462549274,6418398,-701242.6991,77,4,123808,-4.990218921,165296.7736,0.289102498,-54000,4.971571967,11.56996277
0,49.56182473,50.74123244,118.2981985,10.87649753,75,1.55691922,-0.77215092,3.528611645,6434107,-702375.5037,79,4,123873,-89.16274519,168131.5755,0.286637674,-54000,4.947276058,11.43819035
0,49.53501401,50.71477098,118.2703827,10.87521874,73,1.538013452,-0.757208932,3.483235216,6427398,-701894.6138,78,5,123769,-58.97704126,167607.5187,0.277970537,-54000,4.934490618,11.77443099
0,49.84833934,51.01594114,117.769316,10.8521572,73,1.509332148,-0.771298196,3.491924125,6503963,-707379.172,77,4,124348,-83.12657245,165970.0811,0.27821082,-54000,4.9147115,11.37806121
0,49.62344938,50.79857279,118.0082697,10.86316113,71,1.515790617,-0.753932746,3.464878059,6448657,-703430.2148,77,6,124299,-73.1874635,166704.4772,0.288290546,-55200,4.977662076,12.22550536
0,49.86714686,51.03148915,117.4805493,10.83884446,73,1.528468036,-0.747173228,3.421963566,6507928,-707680.2539,78,5,124290,-67.23095606,167588.9347,0.28405048,-54000,4.961578762,12.21463315
0,49.86434574,51.03299861,117.9139709,10.85881996,72,1.508827663,-0.763538686,3.459230035,6508313,-707661.4022,77,5,124239,-46.71121336,163791.695,0.28177138,-54000,4.916368693,11.65193967
0,49.32132853,50.50553557,118.2156755,10.87270323,72,1.504785547,-0.760172104,3.462397968,6374472,-698143.7664,76,4,124024,-47.79979846,167811.4763,0.280324781,-54000,4.929059016,11.98628507
0,49.69467787,50.86969521,118.1648816,10.87036713,74,1.513671346,-0.757073151,3.461366648,6466727,-704691.3848,77,3,123475,-34.04311215,165442.5313,0.285390075,-54000,4.946201458,11.16676758
0,49.50260104,50.67377559,117.3240228,10.83162143,72,1.519523641,-0.757082943,3.443739204,6417011,-701278.6988,77,5,123106,-67.84031696,167459.0325,0.282809807,-54000,4.946891132,11.69356866
0,49.16646659,50.3516764,117.9498799,10.86047328,74,1.529244019,-0.750818013,3.433246928,6335693,-695410.263,77,3,123703,-91.90887404,166427.7998,0.289245934,-54000,4.952927413,11.74796644
0,49.20448179,50.39367231,118.4411804,10.88306852,71,1.508125852,-0.764710552,3.498361168,6346266,-696111.4089,76,5,124056,-95.2986682,166160.3346,0.285808111,-55200,4.9501495,11.68174462
0,49.6042417,50.78027821,118.0558604,10.86535137,73,1.496644026,-0.766618054,3.475156172,6444013,-703102.5012,76,3,124758,-52.60256083,166229.8297,0.278677511,-54000,4.925988818,12.02684025
0,49.67827131,50.85007662,117.7996519,10.85355481,73,1.514255339,-0.745288729,3.441981367,6461740,-704378.2689,77,4,123706,-2.510447945,166214.2587,0.290947499,-55600,4.960698804,11.55100835
0,49.45618247,50.64034536,118.530593,10.88717562,73,1.520526755,-0.771972022,3.52933879,6408547,-700534.2912,77,4,124086,-110.9660119,165332.2686,0.276857315,-54000,4.918108434,13.82551361
0,49.68947579,50.86649742,118.3565559,10.87917993,73,1.513766504,-0.759307407,3.479318302,6465914,-704610.6454,77,4,123669,-33.68649508,165653.5034,0.28390496,-54000,4.957791957,11.31775175
0,49.21528611,50.39607431,117.6199184,10.84527171,73,1.547739602,-0.763027506,3.462340164,6346871,-696257.1817,78,5,124166,-97.55008946,166159.3249,0.280684403,-54000,4.943657456,12.28129793
0,49.69627851,50.8668947,117.7208785,10.84992528,75,1.533413834,-0.744826516,3.444579892,6466015,-704691.1229,78,3,123773,-49.2895205,166777.7223,0.289531993,-54000,4.939191372,11.1306927
0,49.67386955,50.83958955,117.1705497,10.82453462,73,1.514567696,-0.750098375,3.451845592,6459075,-704274.3436,77,4,124740,-5.010665365,164809.7426,0.284184402,-54000,4.937203461,12.42718284
0,49.25170068,50.43538333,117.9978713,10.86268251,71,1.506878604,-0.772678605,3.482420448,6356776,-696918.3986,76,5,124740,-5.010665365,164809.7426,0.284184402,-54000,4.937203461,12.42718284
0,49.59703882,50.76771557,117.4946851,10.83949653,72,1.516711933,-0.773209548,3.492380867,6440825,-702952.4226,77,5,123781,-6.252396414,163865.483,0.285014467,-54000,4.954398616,11.94011873
0,49.53541417,50.71392275,118.1447042,10.869439,71,1.518320726,-0.746670455,3.457780257,6427183,-701888.2024,77,6,123376,-27.52389316,168040.7384,0.287383882,-54000,4.966738096,10.96165243
0,49.53541417,50.71392275,118.1447042,10.869439,71,1.518320726,-0.746670455,3.457780257,6427183,-701888.2024,77,6,123844,-47.58513625,167569.1227,0.285138208,-54000,4.950385858,12.19966271
