rf_0,rf_1,gb_0,gb_1,nb_0,nb_1,nn_0,nn_1,lstm_0,lstm_1,gnn_0,gnn_1,true_label,ensemble_pred
0.4,0.6,0.4983873463358064,0.5016126536641936,0.8405355601110559,0.15946443988894404,0.36601245403289795,0.633987545967102,0.28516721725463867,0.7148327827453613,0.4132958948612213,0.5867040753364563,1,0
0.8,0.2,0.4983873463358064,0.5016126536641936,0.8673251166537089,0.13267488334629154,0.7020761370658875,0.29792386293411255,0.3969191014766693,0.6030808687210083,0.6854895353317261,0.3145105242729187,0,0
0.5,0.5,0.4983873463358064,0.5016126536641936,0.4796510733542965,0.5203489266457026,0.443686306476593,0.5563136339187622,0.060306210070848465,0.939693808555603,0.5454689264297485,0.45453113317489624,1,1
0.6,0.4,0.4983873463358064,0.5016126536641936,0.8590478230722963,0.140952176927704,0.6500539183616638,0.3499460518360138,0.5767317414283752,0.42326831817626953,0.5967444777488708,0.40325555205345154,0,0
0.7,0.3,0.4983873463358064,0.5016126536641936,0.49315558237711243,0.5068444176228892,0.46842846274375916,0.5315715074539185,0.01365436241030693,0.9863455891609192,0.5639476776123047,0.4360523223876953,1,1
0.6,0.4,0.4983873463358064,0.5016126536641936,0.8387221353573363,0.16127786464266505,0.4491955637931824,0.5508044362068176,0.009329300373792648,0.9906706809997559,0.5579748749732971,0.4420250654220581,1,1
0.6,0.4,0.4983873463358064,0.5016126536641936,0.8430785134113788,0.15692148658862026,0.621325671672821,0.37867432832717896,0.06211210787296295,0.9378879070281982,0.647302508354187,0.3526974618434906,0,1
0.4,0.6,0.5112821428575597,0.4887178571424403,0.6774993063419,0.32250069365810075,0.5969353914260864,0.4030645787715912,0.316217303276062,0.683782696723938,0.512744128704071,0.48725590109825134,0,0
0.6,0.4,0.4983873463358064,0.5016126536641936,0.491867911403357,0.5081320885966429,0.3709295988082886,0.6290703415870667,0.042946957051754,0.957053005695343,0.47201064229011536,0.527989387512207,1,1
0.5,0.5,0.4983873463358064,0.5016126536641936,0.7879197639705329,0.2120802360294669,0.5812911987304688,0.41870880126953125,0.9739552140235901,0.026044825091958046,0.6820266842842102,0.3179732859134674,0,0
0.0,1.0,0.4983873463358064,0.5016126536641936,0.8081783353616653,0.1918216646383364,0.4821676015853882,0.5178324580192566,0.5442019701004028,0.45579805970191956,0.5828291773796082,0.41717079281806946,0,0
0.8,0.2,0.5020291275603341,0.49797087243966587,0.9570356196340689,0.04296438036593079,0.5310433506965637,0.4689566195011139,0.3237088918685913,0.6762911081314087,0.3928771913051605,0.6071227788925171,1,0
0.1,0.9,0.4983873463358064,0.5016126536641936,0.6865611007526072,0.3134388992473925,0.19676285982131958,0.8032371401786804,0.693231999874115,0.3067679703235626,0.31797125935554504,0.6820287108421326,0,0
0.5,0.5,0.4983873463358064,0.5016126536641936,0.8122339733105856,0.18776602668941297,0.49727192521095276,0.5027281045913696,0.26219236850738525,0.73780757188797,0.4494803249835968,0.5505197048187256,0,0
0.3,0.7,0.47795787315996596,0.522042126840034,0.010590006572415524,0.9894099934275841,0.2573668360710144,0.7426331639289856,0.40381571650505066,0.5961843132972717,0.31068935990333557,0.6893106698989868,0,0
0.6,0.4,0.4983873463358064,0.5016126536641936,0.7872487135973102,0.21275128640268814,0.49098631739616394,0.5090136528015137,0.0011544779408723116,0.9988454580307007,0.4766337275505066,0.5233662724494934,1,1
0.6,0.4,0.4983873463358064,0.5016126536641936,0.6286930314456062,0.37130696855439277,0.5288023352622986,0.47119763493537903,0.92462158203125,0.07537841796875,0.5175926089286804,0.48240742087364197,0,0
0.5,0.5,0.4983873463358064,0.5016126536641936,0.6827328993258647,0.31726710067413577,0.47098255157470703,0.5290173888206482,0.2076590210199356,0.7923409342765808,0.6111489534378052,0.3888510465621948,0,0
0.7,0.3,0.4983873463358064,0.5016126536641936,0.8746425149784114,0.12535748502158833,0.6068153381347656,0.3931846618652344,0.007358716335147619,0.992641270160675,0.6241298317909241,0.37587013840675354,1,1
0.5,0.5,0.4983873463358064,0.5016126536641936,0.5507094107222703,0.44929058927772864,0.5255532264709473,0.47444677352905273,0.006459974683821201,0.9935399889945984,0.6808308362960815,0.31916913390159607,1,1
1.0,0.0,0.5020291275603341,0.49797087243966587,0.9983494516047922,0.0016505483952085186,0.8177220225334167,0.18227791786193848,0.0024726958945393562,0.9975273013114929,0.6183297038078308,0.3816703259944916,1,1
0.5,0.5,0.4983873463358064,0.5016126536641936,0.766638670863846,0.2333613291361555,0.6279239058494568,0.3720761239528656,0.006709628738462925,0.9932903051376343,0.6510004997253418,0.3489995300769806,1,1
0.5,0.5,0.4983873463358064,0.5016126536641936,0.8057088983771139,0.19429110162288513,0.6337379217147827,0.3662620186805725,0.016049513593316078,0.9839504957199097,0.6339365839958191,0.3660634160041809,1,1
